----------------------------------------------------------
-------------------Start of evolution---------------------
----------------------------------------------------------
Description:
    Function: parabaloid
    Dim size: 2
    Obj Size: 1
Variables:
    Mutation: mutGaussian
    Selection: selTournament
    Mean: 0
    Std Dev: 0.5
    Indpb Mutation: 0.05
    Population Size: 200
    Generations: 400
    CXPB, MUTPB: 0.5, 0.2
    Selection tournsize: 3
[[ 0.37909853  0.56709817]],(-0.4653160232045363,)
[[ 0.59559251  0.4498589 ]],(-0.55710347001266425,)
[[ 0.45701983  0.311651  ]],(-0.30599346528054888,)
[[ 0.31333736  0.29485946]],(-0.18512240366439922,)
[[ 0.53077246  0.39622202]],(-0.43871129600645487,)
[[ 0.71875037  0.548092  ]],(-0.81700693463653651,)
[[ 0.58207508  0.16765094]],(-0.36691823885074298,)
[[ 0.0292772   0.20874192]],(-0.044430342593576401,)
[[ 0.02257544  0.63467444]],(-0.40332129790165477,)
[[ 0.22444174  0.39830987]],(-0.20902484707427654,)
[[ 0.6195008  0.0019485]],(-0.38378503587539997,)
[[ 0.03566997  0.37678955]],(-0.14324271355930138,)
[[ 0.21644443  0.40484548]],(-0.2107480580283575,)
[[ 0.86599413  0.25572342]],(-0.81534030699889937,)
[[ 0.60143488  0.22690134]],(-0.41320813242833049,)
[[ 0.20608795  0.17591994]],(-0.073420066016746,)
[[ 0.88859933  0.6715823 ]],(-1.2406315433452357,)
[[ 0.37582037  0.01798798]],(-0.14156451615830179,)
[[ 0.35253791  0.30602276]],(-0.21793291044795104,)
[[ 0.42334245  0.39410619]],(-0.33453851826547498,)
[[ 0.56901359  0.57517787]],(-0.65460604780913445,)
[[ 0.6232828   0.24976652]],(-0.45086476664059144,)
[[ 0.13094546  0.24507316]],(-0.077207568623555697,)
[[ 0.98933005  0.95695929]],(-1.8945450427624695,)
[[ 0.71157641  0.76761157]],(-1.0955685208854105,)
[[ 0.08694694  0.90281185]],(-0.82262899908873843,)
[[ 0.53750148  0.09894443]],(-0.29869784268987198,)
[[ 0.81259455  0.53005341]],(-0.94126652013290513,)
[[ 0.69507086  0.33187165]],(-0.59326228476214193,)
[[ 0.96555516  0.25011792]],(-0.99485574816493072,)
[[ 0.24138248  0.09696807]],(-0.067668307140525186,)
[[ 0.61217728  0.51783686]],(-0.64291603781931017,)
[[ 0.46532551  0.84423821]],(-0.92926597760466334,)
[[ 0.43989497  0.84377086]],(-0.90545685094907369,)
[[ 0.06485964  0.84398213]],(-0.71651261154939949,)
[[ 0.32875702  0.43201646]],(-0.294719395188417,)
[[ 0.26274447  0.65069049]],(-0.4924327670932247,)
[[ 0.07826414  0.10754077]],(-0.017690292779480605,)
[[ 0.2855638   0.04560194]],(-0.083626218954130874,)
[[ 0.96081754  0.01616415]],(-0.92343162897959341,)
[[ 0.60350177  0.67330617]],(-0.81755559452386173,)
[[ 0.94171103  0.71004326]],(-1.3909810983894459,)
[[ 0.32556019  0.10155764]],(-0.11630339084914391,)
[[ 0.47239461  0.30700097]],(-0.31740626776514747,)
[[ 0.55721962  0.33036511]],(-0.41963481144422249,)
[[ 0.32445528  0.97946686]],(-1.0646265695690538,)
[[ 0.79690302  0.98862508]],(-1.6124339773768881,)
[[ 0.07940994  0.45883556]],(-0.21683600788863455,)
[[ 0.86682386  0.47915207]],(-0.980970309698729,)
[[ 0.80726296  0.02336377]],(-0.65221935269912246,)
[[ 0.60239895  0.07733243]],(-0.36886480396801324,)
[[ 0.54420005  0.04919653]],(-0.29857399526380834,)
[[ 0.73994303  0.50301984]],(-0.80054465082530157,)
[[ 0.04707386  0.02263275]],(-0.0027281895500630422,)
[[ 0.82649256  0.37565546]],(-0.82420698202941522,)
[[ 0.00715383  0.05040274]],(-0.0025916135000207874,)
[[ 0.82276462  0.96858393]],(-1.6150964474771869,)
[[ 0.52628758  0.16117594]],(-0.30295630342745861,)
[[ 0.47582668  0.48766419]],(-0.46422738366701977,)
[[ 0.15133761  0.22485718]],(-0.073463824111032888,)
[[ 0.30377789  0.2750311 ]],(-0.16792311230037887,)
[[ 0.39652549  0.70831104]],(-0.65893699141859474,)
[[ 0.83217214  0.63573362]],(-1.0966677055487375,)
[[ 0.65096577  0.0152294 ]],(-0.42398837426726893,)
[[ 0.34404717  0.72728675]],(-0.64731446640583745,)
[[ 0.62890039  0.37786855]],(-0.53830033343123418,)
[[ 0.06260926  0.33756847]],(-0.11787239309564493,)
[[ 0.16002546  0.72266895]],(-0.54785855705715103,)
[[ 0.17309313  0.84224816]],(-0.7393432026444503,)
[[ 0.73677029  0.33268294]],(-0.65350840150451739,)
[[ 0.13068208  0.86538251]],(-0.76596468667104456,)
[[ 0.84529258  0.37499661]],(-0.8551420072210173,)
[[ 0.53230856  0.45751914]],(-0.49267616241454171,)
[[ 0.10394851  0.87176711]],(-0.77078319256716088,)
[[ 0.60628947  0.07387998]],(-0.37304517365371048,)
[[ 0.64246815  0.72391937]],(-0.93682458257209467,)
[[ 0.36918651  0.2020385 ]],(-0.17711823102389462,)
[[ 0.00909103  0.40200887]],(-0.16169377774442614,)
[[ 0.12625945  0.36354572]],(-0.14810693838450617,)
[[ 0.72269612  0.32555297]],(-0.6282744104775454,)
[[ 0.51493585  0.27607042]],(-0.34137380993385619,)
[[ 0.25045343  0.72331245]],(-0.58590782460404345,)
[[ 0.25392013  0.37347596]],(-0.203959726792937,)
[[ 0.9076344   0.24680343]],(-0.8847121436456199,)
[[ 0.51260855  0.77176639]],(-0.85839088015108911,)
[[ 0.11701655  0.63178822]],(-0.41284922996940004,)
[[ 0.23151809  0.24635874]],(-0.1142932541648058,)
[[ 0.93236304  0.38742538]],(-1.0193992662927405,)
[[ 0.08622013  0.0033727 ]],(-0.0074452862198382099,)
[[ 0.40378718  0.99605547]],(-1.1551705903434291,)
[[ 0.59774747  0.75658527]],(-0.929723317944528,)
[[ 0.57318082  0.12185691]],(-0.34338535372447232,)
[[ 0.45052018  0.38970673]],(-0.35483976637726733,)
[[ 0.22055006  0.9055837 ]],(-0.86872416869460189,)
[[ 0.28075321  0.14020529]],(-0.098479889690059691,)
[[ 0.49297851  0.45410224]],(-0.44923664737837521,)
[[ 0.72199986  0.68149732]],(-0.98572239657805782,)
[[ 0.44213047  0.97983136]],(-1.1555488528991502,)
